Student_ID,Department,Rating,Feedback,Event_Name,Event_Type,Year,Role,Role_Details,Food_Rating,Organization_Rating,Suggestions,Overall_Satisfaction
S001,CIVIL,3,"Event was okay, but could be more engaging.",Spring Fest,Cultural,3,Organizer,Team Lead,2,5,Extend the event duration.,3
S002,IT,3,"Timing was an issue, needs improvement.",Sports Meet,Cultural,1,Participant,Contestant,2,5,Organize events during weekends.,3
S003,EEE,5,"Great experience overall, would love to attend again.",Techno Fiesta,Workshop,3,Participant,Contestant,5,4,More interactive activities.,5
S004,ECE,4,"Great experience overall, would love to attend again.",Cultural Night,Cultural,1,Audience,Spectator,4,5,,4
S005,CIVIL,5,Fantastic cultural night with good performances.,Sports Meet,Funfair,1,Audience,Spectator,4,5,Better sound system.,5
S006,IT,3,"Wonderful coordination, but more games would be nice.",Techno Fiesta,Cultural,1,Organizer,Coordinator,3,3,Include more competitions.,3
S007,EEE,5,"Well organized, but food could be better.",Cultural Night,Technical,3,Volunteer,Food Volunteer,4,5,Provide certificates for participants.,5
S008,CIVIL,4,"Event was okay, but could be more engaging.",Techno Fiesta,Funfair,2,Organizer,Coordinator,4,5,Better seating arrangements.,4
S009,CIVIL,4,"Timing was an issue, needs improvement.",Cultural Night,Cultural,2,Participant,Performer,4,3,Provide certificates for participants.,4
S010,CIVIL,3,"Timing was an issue, needs improvement.",Cultural Night,Technical,4,Audience,Supporter,4,3,Organize events during weekends.,3
S011,IT,3,,Cultural Night,Funfair,4,Audience,Supporter,3,5,Extend the event duration.,4
S012,CSE,4,Enjoyed the workshops and interactions.,Spring Fest,Technical,2,Audience,Spectator,5,5,Organize events during weekends.,5
S013,MECH,4,"Wonderful coordination, but more games would be nice.",Art Expo,Cultural,1,,Registration Desk,2,4,More interactive activities.,3
S014,EEE,4,"Venue was crowded, but activities were fun.",Spring Fest,Sports,2,Participant,Player,3,3,More interactive activities.,3
S015,IT,3,"Timing was an issue, needs improvement.",Art Expo,Cultural,3,Audience,Spectator,4,4,Improve food quality.,4
S016,ECE,5,Enjoyed the workshops and interactions.,Art Expo,Cultural,1,Audience,Spectator,3,3,Organize events during weekends.,4
S017,ECE,5,"Great experience overall, would love to attend again.",Cultural Night,Funfair,4,Organizer,Logistics Manager,3,5,Arrange for more refreshments.,4
S018,CIVIL,3,"Amazing event, had a lot of fun!",Cultural Night,Workshop,4,Participant,Contestant,2,4,Provide certificates for participants.,3
S019,IT,5,"Well organized, but food could be better.",Techno Fiesta,Funfair,2,Participant,Contestant,2,3,Improve food quality.,3
S020,MECH,4,Loved the performances and energy!,Spring Fest,,2,Volunteer,Registration Desk,3,5,Provide certificates for participants.,4
S021,IT,3,"Wonderful coordination, but more games would be nice.",Sports Meet,Technical,4,Audience,Spectator,2,5,Better sound system.,3
S022,EEE,4,"Timing was an issue, needs improvement.",Sports Meet,Workshop,1,Participant,Contestant,4,3,Better seating arrangements.,4
S023,ECE,4,"Well organized, but food could be better.",Art Expo,Workshop,2,Audience,Spectator,5,3,,4
S024,IT,3,Enjoyed the workshops and interactions.,Spring Fest,Cultural,1,Participant,Contestant,5,4,Better seating arrangements.,4
S025,EEE,4,"Wonderful coordination, but more games would be nice.",Spring Fest,Technical,4,Participant,Performer,5,4,Organize events during weekends.,4
S026,CIVIL,3,"Venue was crowded, but activities were fun.",Sports Meet,Technical,2,Volunteer,Food Volunteer,2,5,Improve food quality.,3
S027,CSE,3,Fantastic cultural night with good performances.,Art Expo,Workshop,2,Participant,Player,3,3,Extend the event duration.,3
S028,CIVIL,5,"Well organized, but food could be better.",Techno Fiesta,Workshop,1,Organizer,Logistics Manager,2,5,Arrange for more refreshments.,4
S029,CIVIL,5,"Great experience overall, would love to attend again.",Art Expo,Funfair,3,Volunteer,Food Volunteer,4,3,Arrange for more refreshments.,4
S030,ECE,4,"Event was okay, but could be more engaging.",Cultural Night,Workshop,3,Participant,Contestant,2,3,Better seating arrangements.,3
S031,IT,4,Enjoyed the workshops and interactions.,Cultural Night,Technical,3,Participant,Contestant,4,3,Organize events during weekends.,4
S032,CIVIL,3,"Well organized, but food could be better.",Cultural Night,Funfair,1,Volunteer,Registration Desk,3,4,Extend the event duration.,3
